RegionID,SizeRank,RegionName,RegionType,StateName,State,StateCodeFIPS,MunicipalCodeFIPS,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,Home Type
1442,145,Tulare County,County,CA,CA,6,107,116396.0,116178.0,115611.0,115989.0,115984.0,116862.0,117259.0,118177.0,119323.0,121272.0,123197.0,124783.0,1_bedroom.csv
3229,156,Santa Barbara County,County,CA,CA,6,83,612276.0,613826.0,612948.0,609653.0,606683.0,608129.0,608184.0,605926.0,601750.0,599730.0,598190.0,595787.0,1_bedroom.csv
2444,160,Monterey County,County,CA,CA,6,53,547304.0,547032.0,547129.0,549378.0,551002.0,552496.0,551862.0,552341.0,551242.0,550831.0,550289.0,550549.0,1_bedroom.csv
1395,161,Solano County,County,CA,CA,6,95,283159.0,282618.0,280822.0,281063.0,280772.0,281082.0,283319.0,285082.0,287027.0,287768.0,287991.0,287731.0,1_bedroom.csv
1325,186,Placer County,County,CA,CA,6,61,330160.0,330528.0,329951.0,330695.0,332712.0,335716.0,338012.0,340517.0,342031.0,341351.0,339333.0,338226.0,1_bedroom.csv
3261,238,San Luis Obispo County,County,CA,CA,6,79,494456.0,492325.0,494087.0,498104.0,504846.0,506880.0,505742.0,506350.0,507337.0,509171.0,509360.0,510802.0,1_bedroom.csv
3025,249,Santa Cruz County,County,CA,CA,6,87,602729.0,602466.0,597444.0,595592.0,594815.0,599241.0,601506.0,594851.0,589447.0,587133.0,587883.0,586179.0,1_bedroom.csv
1196,251,Merced County,County,CA,CA,6,47,186472.0,185162.0,183019.0,182523.0,185703.0,188968.0,190149.0,191135.0,192690.0,194818.0,194960.0,195085.0,1_bedroom.csv
625,255,Marin County,County,CA,CA,6,41,718117.0,714957.0,714726.0,713540.0,715765.0,716777.0,714308.0,706388.0,700268.0,695613.0,696306.0,697094.0,1_bedroom.csv
418,283,Butte County,County,CA,CA,6,7,170183.0,174393.0,177454.0,178721.0,179259.0,180566.0,180354.0,179915.0,179205.0,180398.0,181755.0,182487.0,1_bedroom.csv
340,307,Yolo County,County,CA,CA,6,113,349129.0,345041.0,344856.0,346879.0,349673.0,350550.0,352539.0,355077.0,356264.0,354497.0,353248.0,354306.0,1_bedroom.csv
2691,338,El Dorado County,County,CA,CA,6,17,304403.0,306138.0,306617.0,305818.0,306377.0,307316.0,308530.0,307491.0,304918.0,303049.0,301280.0,299393.0,1_bedroom.csv
